Data e Hora de Geração: 14-07-2024-10-47-42
Tempos em segundos:
Tamanho/Tipo,Aleatorio,Aleatorio-RangeMenor,Aleatorio-RangeMaior,Aleatorio-CEP,Aleatorio-Iguais,Aleatorio-Extremo,Crescente,Crescente-RangeMenor,Crescente-RangeMaior,Crescente-CEP,Crescente-Iguais,Crescente-Extremo,Decrescente,Decrescente-RangeMenor,Decrescente-RangeMaior,Decrescente-CEP,Decrescente-Iguais,Decrescente-Extremo
10000,0.000880,0.000492,0.002011,0.001278,0.000368,0.004056,0.000880,0.000496,0.002379,0.001286,0.000835,0.004073,0.000879,0.000494,0.002023,0.001277,0.001644,0.004094,
100000,0.009505,0.005242,0.021308,0.013239,0.003674,0.040924,0.008832,0.004982,0.020352,0.012889,0.008418,0.041241,0.009500,0.005447,0.022267,0.013666,0.016289,0.040782,
500000,0.057742,0.029112,0.122897,0.073961,0.021944,0.224917,0.058102,0.029750,0.123706,0.074275,0.048968,0.222003,0.058103,0.029547,0.123897,0.073886,0.093073,0.221381,
1000000,0.103541,0.060969,0.251874,0.148670,0.044584,0.449612,0.100450,0.058397,0.246386,0.147409,0.097267,0.460892,0.108873,0.059067,0.246450,0.146657,0.186964,0.450105,
Tempo Total,53.8347037
Tempo Médio Total,0.074770
