Data e Hora de Geração: 14-07-2024-11-58-08
Tempos em segundos:
Tamanho/Tipo,Aleatorio,Aleatorio-RangeMenor,Aleatorio-RangeMaior,Aleatorio-CEP,Aleatorio-Iguais,Aleatorio-Extremo,Crescente,Crescente-RangeMenor,Crescente-RangeMaior,Crescente-CEP,Crescente-Iguais,Crescente-Extremo,Decrescente,Decrescente-RangeMenor,Decrescente-RangeMaior,Decrescente-CEP,Decrescente-Iguais,Decrescente-Extremo
10000,0.002980,0.001931,0.008563,0.004145,0.001430,0.009168,0.002960,0.001903,0.008343,0.003870,0.002870,0.009128,0.002879,0.001910,0.008324,0.003865,0.004820,0.009206,
100000,0.028774,0.020439,0.087682,0.040722,0.016989,0.094962,0.029679,0.019811,0.086241,0.038579,0.028541,0.091857,0.028729,0.018908,0.083209,0.038605,0.048258,0.095937,
500000,0.176159,0.099285,0.434706,0.200158,0.073539,0.465397,0.171846,0.097000,0.424586,0.196404,0.144705,0.467649,0.171277,0.096216,0.426407,0.195831,0.245684,0.464790,
1000000,0.293673,0.193315,0.854096,0.394534,0.145836,0.964719,0.298200,0.194270,0.854823,0.397985,0.293876,0.938455,0.295645,0.193938,0.867552,0.396787,0.496245,0.931003,
Tempo Total,145.428439
Tempo Médio Total,0.201983
