Data e Hora de Geração: 24-06-2024-10:53:17
Tempos em segundos:
Tamanho/Tipo,Aleatorio,Aleatorio-RangeMenor,Aleatorio-RangeMaior,Aleatorio-CEP,Aleatorio-Iguais,Aleatorio-Extremo,Crescente,Crescente-RangeMenor,Crescente-RangeMaior,Crescente-CEP,Crescente-Iguais,Crescente-Extremo,Decrescente,Decrescente-RangeMenor,Decrescente-RangeMaior,Decrescente-CEP,Decrescente-Iguais,Decrescente-Extremo
10000,0.009905,0.006405,0.028915,0.012826,0.004811,0.029249,0.009761,0.006622,0.029348,0.013141,0.010155,0.029907,0.009563,0.006393,0.028565,0.012785,0.015991,0.029264,
100000,0.097263,0.063837,0.283278,0.127227,0.047801,0.291710,0.095477,0.063564,0.282736,0.127019,0.094945,0.291048,0.095108,0.063399,0.282833,0.126944,0.158663,0.291177,
500000,0.555751,0.318087,1.419166,0.636769,0.239133,1.463280,0.557533,0.318021,1.418827,0.635953,0.476200,1.459456,0.555676,0.318365,1.418302,0.637200,0.796045,1.459332,
1000000,0.954940,0.636518,2.840748,1.274878,0.478157,2.919199,0.956612,0.636107,2.840497,1.277079,0.954024,2.922393,0.956624,0.636251,2.837886,1.275190,1.592829,2.920531,
Tempo Total,467.712258
Tempo Médio Total,0.649600
